iceberg_id,sequence_end_timestamp,target_timestamp,target_time_delta_hours,initial_latitude,initial_longitude,initial_velocity_ms,initial_heading_deg,distance_travelled_prev_m,physics_dx,physics_dy,actual_dx,actual_dy,physics_epe,persistence_epe,constant_velocity_epe,sea_ice_concentration,current_speed,wind_speed,current_available,wind_available,seaice_available,physics_error_x,physics_error_y,physics_error_speed,actual_displacement_magnitude,predicted_displacement_magnitude,prediction_minus_actual
a23a,2021-03-31,2021-04-12,288.0,-75.68333333333334,-39.833333333333336,0.0035352640093124048,8.126037285427117,5498.042587282645,307.4311179010265,2607.1788106843733,0.0,0.0,2625.2419399239106,0.0,3665.361724855101,0.9528641612268984,0.04828101500203965,2.1146543620425486,1.0,1.0,1.0,307.4311179010265,2607.1788106843733,0.002532062056253772,0.0,2625.2419399239106,2625.2419399239106
a23a,2021-04-12,2021-04-21,216.0,-75.68333333333334,-39.833333333333336,0.0,207.7506354602461,0.0,-123.15195399723179,37.87885070171352,0.0,0.0,128.84568717585776,0.0,0.0,0.9637745283544064,0.04516739398241044,5.363926942175466,1.0,1.0,1.0,-123.15195399723179,37.87885070171352,0.00016569661416648374,0.0,128.84568717585776,128.84568717585776
a23a,2021-04-21,2021-05-04,312.0,-75.68333333333334,-39.833333333333336,0.0,207.7506354602461,0.0,-137.98163375816247,-35.92971965142449,-3836.2545307204127,-3210.451819136506,4873.890948772318,5002.38440220959,5002.38440220959,0.9506134211551398,0.0158696249127388,9.336648008025435,1.0,1.0,1.0,3698.2728969622503,3174.5220994850815,0.004339290374619229,5002.38440220959,142.58287417779752,-4859.801528031792
a23a,2021-05-04,2021-05-11,168.0,-75.68333333333334,-40.016666666666666,0.0044536898167820416,230.07500000000027,5002.384402209591,-1500.050879375589,-1019.4162386912888,-8138.846118848072,-4467.57311999565,7480.8681387743445,9284.396896341517,6662.191883928025,0.9373378695454448,0.07956849086118326,7.489431489389838,1.0,1.0,1.0,6638.795239472483,3448.1568813043614,0.012369160282364988,9284.396896341517,1813.659865692289,-7470.7370306492285
a23a,2021-05-11,2021-05-23,288.0,-75.66666666666667,-40.35,0.015351185344480022,241.23674852747712,9284.396896341517,-9297.150017495054,-5038.688824794271,8003.244073858834,6753.295255043544,20936.917735313884,10471.815148652606,26263.12557670708,0.9738074883352965,0.02463507315508416,10.450890635460372,1.0,1.0,1.0,-17300.39409135389,-11791.984079837814,0.020193786395943176,10471.815148652606,10574.75217302585,102.93702437324464
a23a,2021-05-23,2021-05-28,120.0,-75.66666666666667,-39.96666666666667,0.010100130351709688,49.84166666666641,10471.815148652606,2222.2346185059096,1903.4385076688106,-477.0013710951898,-10013.002039512852,12218.323544663279,10024.357343556505,13381.243480851848,0.9408474981319159,0.009650800064770287,3.6579590327811484,1.0,1.0,1.0,2699.2359896010994,11916.440547181663,0.02828315635338722,10024.357343556505,2925.987842107785,-7098.36950144872
a23a,2021-05-28,2021-06-06,216.0,-75.73333333333333,-40.21666666666667,0.02320453088786228,182.72740573142215,10024.357343556505,-581.765379071571,-11809.608368861082,-1615.1546440641396,8256.437365619233,20092.637576765712,8412.935426867094,26290.72871016699,0.9677800827194005,0.09162874349104376,6.4540221988198425,1.0,1.0,1.0,1033.3892649925685,-20066.045734480314,0.025839297295223395,8412.935426867094,11823.92916006181,3410.9937331947167
a23a,2021-06-06,2021-06-17,264.0,-75.66666666666667,-40.06666666666668,0.010819104201217969,348.9313699349319,8412.935426867094,-1350.0276436238744,6775.459534344758,80.17345028195996,4867.660354145337,2384.3600569081486,4868.320563135549,5612.960700819249,0.9617526771035045,0.05913350057560052,7.933072975681128,1.0,1.0,1.0,-1430.2010939058343,1907.7991801994212,0.0025087963561743988,4868.320563135549,6908.648676846429,2040.3281137108806
a23a,2021-06-17,2021-06-22,120.0,-75.63333333333334,-39.949999999999996,0.005122391164915349,0.9436124702428685,4868.320563135549,61.44010057459075,1436.5644451814335,798.3744916914729,5458.310891763074,4088.706002808574,5516.390089553405,3333.9699431554122,0.9548097162041813,0.039674062281847,10.644136344623114,1.0,1.0,1.0,-736.9343911168822,-4021.746446581641,0.00946459722872355,5516.390089553405,1437.8777038114388,-4078.5123857419667
a23a,2021-06-22,2021-06-28,144.0,-75.6,-39.79999999999999,0.012769421503595845,8.321511659245488,5516.390089553404,593.737498096534,4394.707022989024,-2001.612557584769,3118.702911060769,2892.0630015929387,3705.773964793314,4531.358929568288,0.954046753467992,0.05375764188437025,7.4685276937026845,1.0,1.0,1.0,2595.3500556813033,1276.004111928255,0.00557882523455428,3705.773964793314,4434.633472402762,728.859507609448
a23a,2021-06-28,2021-07-06,192.0,-75.56666666666666,-39.78333333333333,0.007148483728382164,327.3072746834363,3705.773964793312,-1792.5931124616138,2777.2915058856433,0.0,0.0,3305.5617034793586,0.0,4941.031953057752,0.984031189000234,0.053535415827695915,5.74402444817084,1.0,1.0,1.0,-1792.5931124616138,2777.2915058856433,0.004782352001561572,0.0,3305.5617034793586,3305.5617034793586
