iceberg_id,timestamp,original_latitude,original_longitude,predicted_dx_m,predicted_dy_m,predicted_latitude,predicted_longitude,regime,selected_model,prediction_horizon_hours,persistence_epe,physics_b_epe,hybrid_epe
b09b,2026-06-13,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,216.0,0.0,851.9078774002511,0.0
b09b,2026-06-21,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,192.0,0.0,560.876962176239,0.0
b09b,2026-06-28,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,168.0,0.0,253.316211483907,0.0
b09b,2026-07-05,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,168.0,0.0,981.7544843515496,0.0
b09b,2026-07-12,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,168.0,0.0,653.9720301116591,0.0
b09b,2026-07-19,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,168.0,0.0,1800.6828333195824,0.0
b09b,2026-07-22,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,72.0,0.0,644.8734076019159,0.0
b09b,2026-07-30,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,192.0,0.0,1402.644283106446,0.0
b09b,2026-08-09,-66.08333333333333,143.23333333333332,0.0,0.0,-66.0833333333331,143.23333333333332,Stationary,Persistence,240.0,1888.97565094054,756.2288151064788,1888.97565094054
b09b,2026-08-16,-66.06666666666666,143.23333333333332,0.0,0.0,-66.06666666666645,143.23333333333332,Stationary,Persistence,168.0,0.0,3155.856633315009,0.0
b28,2021-04-12,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,288.0,0.0,10629.521800561803,0.0
b28,2021-04-21,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,216.0,0.0,305.80803307333923,0.0
b28,2021-05-04,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,312.0,0.0,4763.040894831929,0.0
b28,2021-05-11,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,168.0,0.0,290.2142094738312,0.0
b28,2021-05-23,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,288.0,0.0,2669.052578151989,0.0
b28,2021-05-28,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,120.0,0.0,180.85914658508383,0.0
b28,2021-06-08,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,264.0,0.0,337.51799535093727,0.0
b28,2021-06-17,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,216.0,0.0,49.97262005712558,0.0
b28,2021-06-22,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,120.0,0.0,351.347264213908,0.0
b28,2021-06-28,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,144.0,0.0,198.18576469612339,0.0
b28,2021-07-06,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,192.0,0.0,869.2117150148925,0.0
b28,2021-07-16,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,240.0,0.0,624.6491890576814,0.0
b28,2021-08-15,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,720.0,0.0,383.9043365036641,0.0
b28,2021-09-02,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,432.0,0.0,541.6694379753517,0.0
b28,2021-09-12,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,240.0,0.0,918.280624214115,0.0
b28,2021-10-06,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,576.0,0.0,3510.6369124135945,0.0
b28,2021-10-19,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,312.0,0.0,102.62758550996575,0.0
b28,2021-11-10,-74.66666666666667,-108.76666666666665,0.0,0.0,-74.66666666666666,-108.76666666666665,Stationary,Persistence,528.0,0.0,2540.916222358424,0.0
b46,2021-04-12,-72.45,-112.44999999999999,0.0,0.0,-72.44999999999999,-112.44999999999999,Stationary,Persistence,288.0,3353.296874272875,3511.9923150607897,3353.296874272875
b46,2021-04-21,-72.45,-112.54999999999998,0.0,0.0,-72.45,-112.54999999999998,Stationary,Persistence,216.0,14640.377799208567,13525.191794009861,14640.377799208567
b46,2021-05-04,-72.35,-112.83333333333331,0.0,0.0,-72.34999999999998,-112.83333333333331,Slow-moving,Persistence,312.0,12555.97389162426,5791.1666099598,12555.97389162426
b46,2021-05-11,-72.3,-113.16666666666666,0.0,0.0,-72.29999999999998,-113.16666666666666,Slow-moving,Persistence,168.0,2818.6655250081744,2418.551955287682,2818.6655250081744
b46,2021-05-23,-72.3,-113.25,0.0,0.0,-72.29999999999998,-113.25,Stationary,Persistence,288.0,23616.043785181915,24580.95666869564,23616.043785181915
b46,2021-05-28,-72.1,-113.01666666666665,0.0,0.0,-72.09999999999997,-113.01666666666665,Slow-moving,Persistence,120.0,17198.16937118976,16835.03636494596,17198.16937118976
b46,2021-06-08,-72.11666666666666,-112.51666666666665,-7131.4907455039665,24074.59504454077,-72.13889202115944,-111.78516493798098,Moving,Physics B,264.0,16317.752357075458,34020.76409454467,34020.76409454467
b46,2021-06-17,-72.25,-112.71666666666667,0.0,0.0,-72.24999999999997,-112.71666666666667,Slow-moving,Persistence,216.0,59535.6311714455,52109.69049316947,59535.6311714455
b46,2021-06-22,-72.55,-114.18333333333334,18381.795144963417,-11886.120429755021,-72.65630989076767,-114.73787339446166,Moving,Physics B,120.0,19322.404508029125,14474.657517670264,14474.657517670264
b46,2021-06-28,-72.71666666666667,-114.35,15074.49329781241,1979.8418287495467,-72.84764796725777,-114.4846570402173,Moving,Physics B,144.0,43229.58127001931,49059.41315005342,49059.41315005342
b46,2021-07-06,-72.51666666666667,-115.46666666666667,-4229.390720248237,-37881.289844344,-72.33332209852497,-116.42591290103425,Moving,Physics B,192.0,56193.67412968519,24171.69845267941,24171.69845267941
b46,2021-07-16,-72.11666666666666,-116.48333333333332,-20786.07990563985,-41813.36735645318,-71.78014683450623,-117.29167378110887,Moving,Physics B,240.0,77175.43129716069,70314.93171948259,70314.93171948259
b46,2021-08-15,-72.23333333333333,-118.71666666666667,93005.37451964883,-122191.04638422186,-72.38505783416916,-123.23275398763799,Moving,Physics B,720.0,125493.09761580675,60389.881314938204,60389.881314938204
b46,2021-09-02,-71.93333333333334,-122.25,13079.12615998792,-48159.64838085006,-71.7967043360316,-123.62103357194117,Moving,Physics B,432.0,68067.73228093398,33078.27690912708,33078.27690912708
b46,2021-09-12,-72.03333333333333,-124.19999999999999,16928.25532678434,-18365.407912085135,-72.06499715457265,-124.9206915494635,Moving,Physics B,240.0,72033.90302877095,48572.94476573807,48572.94476573807
b46,2021-10-06,-71.93333333333334,-126.26666666666665,50661.71294157807,-102345.45115440017,-71.72799770268136,-129.48827641325974,Moving,Physics B,576.0,149088.31820423686,88137.550391815,88137.550391815
b46,2021-10-19,-72.48333333333333,-130.26666666666668,46947.64452363006,-25121.51217247996,-72.65380581936803,-131.76100071118253,Moving,Physics B,312.0,43661.66882559105,10074.175249306756,10074.175249306756
b46,2021-11-10,-72.6,-131.51666666666668,41423.058182904366,-26464.58155506606,-72.71598597861893,-132.9485681838243,Moving,Physics B,528.0,84893.47246681436,68849.5498761027,68849.5498761027
c15,2021-04-12,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,288.0,0.0,1801.379709552057,0.0
c15,2021-04-21,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,216.0,0.0,132.957328386378,0.0
c15,2021-05-04,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,312.0,0.0,429.40990565929224,0.0
c15,2021-05-11,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,168.0,0.0,139.77787828944892,0.0
c15,2021-05-23,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,288.0,0.0,751.7539505091042,0.0
c15,2021-05-28,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,120.0,0.0,116.83387445517181,0.0
c15,2021-06-08,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,264.0,0.0,360.0427598496881,0.0
c15,2021-06-17,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,216.0,0.0,357.6610366425135,0.0
c15,2021-06-22,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,120.0,0.0,37.26173133903787,0.0
c15,2021-06-28,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,144.0,0.0,319.97808590742176,0.0
c15,2021-07-06,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,192.0,0.0,475.85256100247517,0.0
c15,2021-07-16,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,240.0,0.0,464.5795969039477,0.0
c15,2021-08-15,-65.96666666666667,143.2833333333333,0.0,0.0,-65.96666666666644,143.28333333333333,Stationary,Persistence,720.0,3081.9097311546316,3789.1176317498384,3081.9097311546316
c15,2021-09-02,-65.96666666666667,143.21666666666667,0.0,0.0,-65.96666666666644,143.21666666666667,Stationary,Persistence,432.0,0.0,453.1980002803367,0.0
c15,2021-09-12,-65.96666666666667,143.21666666666667,0.0,0.0,-65.96666666666644,143.21666666666667,Stationary,Persistence,240.0,0.0,199.8181882545509,0.0
c15,2021-10-06,-65.96666666666667,143.21666666666667,0.0,0.0,-65.96666666666644,143.21666666666667,Stationary,Persistence,576.0,0.0,378.8898094161837,0.0
c15,2021-10-19,-65.96666666666667,143.21666666666667,0.0,0.0,-65.96666666666644,143.21666666666667,Stationary,Persistence,312.0,2040.5857639196731,2340.9206375791737,2040.5857639196731
c15,2021-11-10,-65.98333333333333,143.2,0.0,0.0,-65.9833333333331,143.2,Stationary,Persistence,528.0,3614.162366074436,5907.336564710337,3614.162366074436
c15,2026-04-30,-65.86666666666666,143.13333333333333,0.0,0.0,-65.86666666666643,143.13333333333333,Stationary,Persistence,192.0,0.0,209.29678987537645,0.0
c15,2026-05-07,-65.86666666666666,143.13333333333333,0.0,0.0,-65.86666666666643,143.13333333333333,Stationary,Persistence,168.0,0.0,234.54100793602242,0.0
c15,2026-05-14,-65.86666666666666,143.13333333333333,0.0,0.0,-65.86666666666643,143.13333333333333,Stationary,Persistence,168.0,0.0,28.060652380499985,0.0
c15,2026-05-21,-65.86666666666666,143.13333333333333,0.0,0.0,-65.86666666666643,143.13333333333333,Stationary,Persistence,168.0,0.0,201.1061754514978,0.0
c15,2026-05-28,-65.86666666666666,143.13333333333333,0.0,0.0,-65.86666666666643,143.13333333333333,Stationary,Persistence,168.0,5671.664312534272,5606.094936337782,5671.664312534272
c15,2026-06-04,-65.81666666666666,143.13333333333333,0.0,0.0,-65.81666666666642,143.13333333333333,Stationary,Persistence,168.0,2326.2780704628094,4650.950054790072,2326.2780704628094
c15,2026-06-13,-65.81666666666666,143.08333333333334,0.0,0.0,-65.81666666666642,143.08333333333334,Stationary,Persistence,216.0,1890.668193310531,2063.8844015100312,1890.668193310531
c15,2026-06-21,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,192.0,0.0,1529.7929239320263,0.0
c15,2026-06-28,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,168.0,0.0,189.83176916814745,0.0
c15,2026-07-05,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,168.0,0.0,976.6722078522516,0.0
c15,2026-07-12,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,168.0,0.0,586.7006282724152,0.0
c15,2026-07-19,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,168.0,0.0,1703.5284470575914,0.0
c15,2026-07-22,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,72.0,0.0,772.9377448977624,0.0
c15,2026-07-30,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,192.0,0.0,1324.5544443851138,0.0
c15,2026-08-09,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,240.0,0.0,1530.4715730380942,0.0
c15,2026-08-16,-65.83333333333333,143.08333333333334,0.0,0.0,-65.8333333333331,143.08333333333334,Stationary,Persistence,168.0,0.0,2317.8063612979245,0.0
c18c,2026-05-07,-68.48333333333333,39.05,0.0,0.0,-68.48333333333325,39.050000000000004,Stationary,Persistence,168.0,1995.7953300608165,1824.8172416555808,1995.7953300608165
c18c,2026-05-14,-68.5,39.03333333333333,0.0,0.0,-68.49999999999991,39.03333333333333,Stationary,Persistence,168.0,1374.5762295269133,2740.897178655012,1374.5762295269133
c18c,2026-05-21,-68.5,39.06666666666667,0.0,0.0,-68.49999999999991,39.06666666666667,Stationary,Persistence,168.0,2324.095005294302,2911.6637364257067,2324.095005294302
c18c,2026-05-28,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Stationary,Persistence,168.0,0.0,2187.290997778651,0.0
c18c,2026-06-04,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Stationary,Persistence,168.0,5084.309819493078,4955.744836722757,5084.309819493078
c18c,2026-06-13,-68.51666666666667,38.95,0.0,0.0,-68.51666666666658,38.949999999999996,Stationary,Persistence,216.0,0.0,4838.293781709027,0.0
c18c,2026-06-21,-68.51666666666667,38.95,0.0,0.0,-68.51666666666658,38.949999999999996,Stationary,Persistence,192.0,0.0,243.281971739969,0.0
c18c,2026-06-28,-68.51666666666667,38.95,0.0,0.0,-68.51666666666658,38.949999999999996,Stationary,Persistence,168.0,8348.294116245826,8325.260237969243,8348.294116245826
c18c,2026-07-05,-68.56666666666666,38.8,0.0,0.0,-68.56666666666656,38.8,Slow-moving,Persistence,168.0,13420.350037629478,15298.498735222305,13420.350037629478
c18c,2026-07-12,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Slow-moving,Persistence,168.0,0.0,7964.670885942541,0.0
c18c,2026-07-19,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Stationary,Persistence,168.0,2324.095005294302,2452.5976698407253,2324.095005294302
c18c,2026-07-22,-68.5,39.06666666666667,0.0,0.0,-68.49999999999991,39.06666666666667,Stationary,Persistence,72.0,2324.095005294302,2564.1915404297306,2324.095005294302
c18c,2026-07-30,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Stationary,Persistence,192.0,0.0,4299.733100520929,0.0
c18c,2026-08-09,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Stationary,Persistence,240.0,0.0,1672.224021726316,0.0
c18c,2026-08-16,-68.48333333333333,39.03333333333333,0.0,0.0,-68.48333333333325,39.03333333333333,Stationary,Persistence,168.0,687.8331365828694,1433.4562810943687,687.8331365828694
c24,2021-04-12,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,288.0,0.0,19338.662585109454,0.0
c24,2021-04-21,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,216.0,0.0,1675.979950211799,0.0
c24,2021-05-04,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,312.0,0.0,3084.7304054061033,0.0
c24,2021-05-11,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,168.0,0.0,1101.8757141517722,0.0
c24,2021-05-23,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,288.0,0.0,1048.8183427379088,0.0
c24,2021-05-28,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,120.0,0.0,685.519540376928,0.0
c24,2021-06-08,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,264.0,0.0,551.7702787055999,0.0
c24,2021-06-17,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,216.0,0.0,72.40291427784626,0.0
c24,2021-06-22,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,120.0,0.0,181.99046232889256,0.0
c24,2021-06-28,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,144.0,0.0,56.465856128795984,0.0
c24,2021-07-06,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,192.0,0.0,229.1717872286864,0.0
c24,2021-07-16,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,240.0,0.0,296.93160667149476,0.0
c24,2021-08-15,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,720.0,0.0,953.9500119350643,0.0
c24,2021-09-02,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,432.0,0.0,2052.107221186257,0.0
c24,2021-09-12,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,240.0,0.0,900.746872441724,0.0
c24,2021-10-06,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,576.0,0.0,208.99469177630814,0.0
c24,2021-10-19,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,312.0,0.0,122.9441438434829,0.0
c24,2021-11-10,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,528.0,0.0,1805.1744079472726,0.0
c24,2021-12-05,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,600.0,0.0,1070.3389243377815,0.0
c24,2021-12-31,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,624.0,0.0,33400.20938887424,0.0
c24,2026-04-30,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,192.0,0.0,7515.554805419654,0.0
c24,2026-05-07,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,168.0,0.0,5027.917318615158,0.0
c24,2026-05-14,-64.83333333333333,96.01666666666668,0.0,0.0,-64.833333333333,96.01666666666668,Stationary,Persistence,168.0,0.0,2040.0499939432173,0.0
