epoch,train_loss,val_loss,train_MAE_m,val_MAE_m,train_RMSE_m,val_RMSE_m
1,0.8272054691741496,0.46533308197923057,16286.7783203125,15710.1435546875,34993.04982421509,25933.199108478693
2,0.6911084991914255,0.40447828157601373,15884.923828125,12201.3134765625,31938.16525725922,23981.76774134884
3,0.5705785958855241,0.4355466278973005,14214.9404296875,13867.23046875,29083.790674532094,24896.575828816298
4,0.5232296420100294,0.413143575925454,13634.5166015625,13858.96875,28093.876912950265,24317.27353138094
5,0.511059719287319,0.43322723347767694,13105.0693359375,13291.96484375,27901.717796580197,24961.623024154498
6,0.47476732171612024,0.3912227076065067,12632.0625,13171.701171875,26818.665738623164,23654.686470126802
7,0.46465585187629416,0.38327238088880744,12472.5791015625,12136.2421875,26570.879699400244,23345.5448426461
8,0.4619931191205978,0.38428558444986677,11867.70703125,12653.091796875,26439.313758114073,23466.196964996267
9,0.45903931929741376,0.3879086809319179,12160.3173828125,11674.3154296875,26367.90169884589,23465.329658881845
10,0.44723851680755616,0.3993654294519235,11870.2099609375,13226.54296875,25968.8194571875,24031.828228414084
11,0.4273128944414633,0.40150325842177037,11660.0625,12424.0625,25371.635185773896,23903.563583700234
12,0.408070159179193,0.3866163812306346,11680.306640625,12117.30078125,24810.20306244993,23547.967046010574
13,0.3909300109486521,0.3921131440160784,11316.203125,11848.6318359375,24226.458263642253,23594.559372872383
14,0.42446408608445413,0.35982562755758796,11379.02734375,11293.4794921875,25309.948083708114,22749.7298445498
15,0.45927393173362,0.3782263578143933,11364.7880859375,11862.107421875,26504.165408478722,23220.583971984855
16,0.4171148121356964,0.39788301021403427,11358.5029296875,11628.68359375,25110.435121677998,23890.245038508918
17,0.43153140154885655,0.40486570207759837,11410.515625,12603.181640625,25667.690507718064,24030.59383369458
18,0.3813504206545559,0.3855416924316461,10838.556640625,12414.1767578125,24007.564141328457,23589.436279826612
19,0.3665656835944564,0.40104755698795747,10857.7392578125,11863.666015625,23438.556952167513,23878.92392885408
20,0.3823395636346605,0.41545377412058465,10906.83203125,11747.638671875,23981.2980466029,24722.99917081259
21,0.39707639658892596,0.40269951487811195,11002.7060546875,11367.001953125,24615.005504772897,23854.37419007256
22,0.366422399510572,0.4109816647054541,10610.189453125,12219.83984375,23462.393398798853,24243.75416473282
23,0.34773056080311904,0.38733867943804984,10400.7177734375,11757.205078125,22787.31857854276,23558.04270307701
24,0.35993577278690575,0.42312065711775365,10604.5078125,12419.3173828125,23305.907234004,24310.835115232057
25,0.3694212305876944,0.40091262050343074,10767.646484375,11944.0986328125,23558.318445933273,23911.728335693344
26,0.32403285760938383,0.46149379143873787,10374.625,12483.869140625,21833.572680621925,26185.690137936024
27,0.3373332367451103,0.37937970830139933,10384.15234375,11281.31640625,22312.14772270926,23397.870672349654
28,0.31623679164015217,0.4328193584370692,10011.015625,12316.26953125,21612.436419802372,25341.26879222901
29,0.3139884595517759,0.3757533174230168,10033.92578125,11716.81640625,21557.215404592494,23158.071767744394
